[55.664633,38.032815]
[55.589397,37.537124]
[55.880947,37.650173]
[55.673033,37.91391] 
[55.484165,37.560050]
[55.685523,37.694202]
[55.813671,37.531863]
[55.683406,37.538748]
[55.7049,37.588413]  
[55.815271,37.52278] 
[55.647633,37.57243] 
[55.546045,37.556385]
[55.764560,37.655338]
[55.704968,37.588446]
[55.077195,37.841268]
[55.700896,37.61534] 
[55.78138,37.479856] 
[55.80075,37.506108] 
[55.791088,37.365016]
[55.800801,38.983161]
[55.628733,37.65984] 
[55.665245,37.724385]
[55.673282,37.490230]
[55.561344,37.669982]
[55.561302,37.669979]
[55.483097,37.559631]
[55.562709,37.667663]
[55.720077,37.675014]
[55.545653,37.055095]
[55.624726,37.17343] 
[55.483112,37.559581]
[55.674858,37.663623]
[55.483707,37.559928]
[55.663193,38.930771]
[55.366699,37.898181]
[55.740058,37.550151]
[55.705234,37.687435]
[55.091595,38.270211]
[55.677213,37.729301]
[55.611263,37.770145]
[55.664295,37.548566]
[55.637882,37.666816]
[55.628556,37.51595] 
[55.719760,37.563060]
[55.466436,37.562133]
[55.659996,37.550375]
[55.783545,37.68686] 
[55.294857,37.189445]
[55.673225,37.489303]
[55.794986,38.972443]
[55.640071,37.354999]
[55.484783,37.556652]
[55.788683,38.969438]
[55.485954,37.557285]
[55.566852,37.605888]
[55.482730,37.564472]
[55.075278,37.839405]
[55.537460,37.539798]
[55.67298,37.914103] 
[55.484863,37.562305]
[55.679557,37.701725]
[55.932910,37.375476]
[55.66004,37.550455] 
[55.483039,37.559631]
[55.835426,37.403118]
[55.561336,37.669967]
[55.980632,37.403423]
[55.566268,37.604679]
[55.549129,37.586280]
[55.71915,37.564628] 
[55.663043,37.624796]
[55.901086,37.628386]
[55.485652,37.557258]
[55.669822,37.446285]
[56.121528,37.966353]
[55.679500,37.699966]
[55.808636,37.817541]
[55.57577,37.693428] 
[55.571701,38.916235]
[55.733053,37.699895]
[55.679363,37.699420]
[55.881362,37.649864]
[55.881141,37.651210]
[55.673130,37.489921]
[55.561283,37.669879]
[55.662865,37.508565]
[56.309145,37.47952] 
[55.601415,37.650845]
[55.741935,37.558255]
[55.808488,37.528731]
[55.673618,37.493690]
[55.746298,37.42055] 
[55.650521,37.53346] 
[55.661193,37.620250]
[55.679325,37.699180]
[55.603130,37.755752]
[55.677642,37.632575]
[55.484863,37.556644]
[55.788601,38.969285]
[55.783248,37.656675]
[55.483741,37.560001]
[56.02504,37.481853] 
[55.12316,37.945866] 
[55.905418,37.536461]
[55.941371,37.505050]
[55.580493,37.657752]
[55.483276,37.559837]
[55.676628,37.853953]
